posted,neighborhood,post title,number bedrooms,sqft,URL,price
2020-04-30 16:55:00,(Richmond,Beautiful apt in Richmond District – 1 Block from Golden Gate Park!,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-apt-in-richmond/7116645414.html,3000
2020-04-30 16:58:00,(Richmond,BIG remodeled apt in Richmond District – 1 Block to Golden Gate Park!,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-big-remodeled-apt-in/7116646902.html,3000
2020-04-28 04:19:00,(Mission District,20th @ Dolores | Commanding View 2BR/1BA. Victorian/Edwardian. Garage,2.0,1200.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-20th-dolores-commanding/7115161698.html,3800
2020-04-29 07:40:00,(Soma,"3D Virtual Tour - 2 BR, 2 BA Condo 1,160 Sq. Ft. - Parking",2.0,1160.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3d-virtual-tour-2-br-2-ba/7115772931.html,4000
2020-04-30 08:14:00,(Soma,"3D Virtual Tour - 2 BR, 2 BA Condo 1,160 Sq. Ft. - Parking Option",2.0,1160.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3d-virtual-tour-2-br-2-ba/7116329472.html,4000
2020-05-02 18:31:00,(Inner Richmond,2+ bedrooms-2 blocks to GG Park and Clement,2.0,1350.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedrooms-2-blocks-to-gg/7111581662.html,4195
2020-05-02 18:31:00,(Inner Richmond,2+ bedrooms-2 blocks to GG Park and Clement,2.0,1350.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedrooms-2-blocks-to-gg/7111582186.html,4195
2020-04-27 23:04:00,(Mission District,Beautiful 2br/1ba near 16th and Mission,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-2br-1ba-near/7115131919.html,3800
2020-04-27 09:39:00,(Laurel Hts,Attractive 2+ bedroom/1 bathroom in Jordan Park,2.0,1200.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-attractive-2-bedroom-1/7114763575.html,4150
2020-05-02 15:08:00,(Pacific Heights,Redesigned Garden Home w/Laundry and Private Patio,2.0,1000.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-redesigned-garden-home/7112923207.html,3900
2020-05-01 13:32:00,(Inner Richmond,"Rare 2-level, 2-bed 1-bath apartment in a great location",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rare-2-level-2-bed-1-bath/7104333446.html,3999
2020-05-01 19:02:00,(Inner Richmond,Housing near GGP/USF,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-housing-near-ggp-usf/7106090175.html,3600
